Primary Song Record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Title,Alternative Title,General Summary,Main Location,Composer (if known),Top-Level Identifier,Related Songs,Refs,LV Version Identifier,Version Title,Version Alternative Title,Version Summary,LanguageEnglish,LanguageGaelic,LanguageScots,LanguageOther,LV Singer ID,Singer First Name,Singer Surname,Singer Native Area,Singer Native Latitude,Singer Native Longitude,Singer Other Area,Singer Other Latitude,Singer Other Longitude,Collector,Date Collected,Source,Location 1,Loc. 1 Lat.,Loc. 1 Long.,Location 2,Loc. 2 Lat.,Loc. 2 Long.,Location 3,Loc. 3 Lat.,Loc. 3 Long.,Roud,Greig-Duncan,Child,Laws,ItemNote,Hyperlink,Tag cloud,Add lyrics,Photo?
The Twa Sisters,Binnorie,Murder ballad in which the elder of two sisters kills the younger out of jealousy of her suitor.,,,LV001,,,LV001.001,Binnorie,,"Two sisters are courted by a miller lad. The older invites the younger to go for a walk and pushes her into the deep mill dam. The drowning girl asks her sister to rescue her, offering money and a third of her land. The elder replies that it was not for money or land, but because her sister was beautiful and she was ugly. The miller is summoned to the dam where they are not sure if the body is a woman or a swan. She is buried by the miller lad.

John Argo heard the song from his mother when he was a young boy.",FALSE,FALSE,TRUE,FALSE,ID004,John,Argo,"Maud, New Deer ",57.522735,-2.129582,,,,Hamish Henderson,1952.01,School of Scottish Studies Sound Archive SA1952.22.B1 (B9),"Maud, New Deer ",57.522735,-2.129582,,,,,,,8,213,10,,"Text and music transcribed in School of Scottish Studies. 7 verses with refrain and interlinear refrain.

See:
Greig-Duncan vol. 2,  pp. 76-92
'Scottish Tragic Ballads' (J. Pinkerton, 1781) pp. 72-74
'Ancient Ballads and Songs' vol. 2 (P. Buchan, 1828, 1875) pp. 122-125
'Ballads of Scotland' vol. 1 (W. E. Aytoun, 1858) pp. 194-199
'Vagabond Songs & Ballads' vol. 2 (R. Ford, 1901) pp. 189-194",http://www.tobarandualchais.co.uk/fullrecord/9362/1,,,
The Twa Sisters,Binnorie,Murder ballad in which the elder of two sisters kills the younger out of jealousy of her suitor.,,,LV001,,,LV001.002,Binnorie,,Murder ballad in which the elder of two sisters kills the younger out of jealousy of her suitor.,FALSE,FALSE,TRUE,FALSE,ID003,Arthur,Argo,Aberdeen,57.149717,-2.094278,,,,Hamish Henderson,1960.06,School of Scottish Studies Sound Archive SA1960.110.B2,Aberdeen,57.149717,-2.094278,,,,,,,8,213,10,,Recorded at the 'Bothy Ballads and Blues' ceilidh.,http://www.tobarandualchais.co.uk/fullrecord/88986/1,,,
The Twa Sisters,Binnorie,Murder ballad in which the elder of two sisters kills the younger out of jealousy of her suitor.,,,LV001,,,LV001.003,Binnorie,,"In this version of 'Binnorie', two sisters are courted by a miller, and the younger wins his favour. The jealous older sister invites the younger to walk by the miller's dam, and there pushes her into the water, where she drowns. The miller's servant discovers the body and alerts the miller, who recognises the young sister by her silken gown, and grieves for her.

Ethel Findlater learned this tragic ballad from her cousin, who learned it from her grandmother.",TRUE,FALSE,TRUE,FALSE,ID017,Ethel,Findlater,"Dounby, Orkney",59.067798,-3.227541,,,,Elizabeth Neilsen,1961,School of Scottish Studies Sound Archive SA1961.88.A2,"Dounby, Orkney",59.067798,-3.227541,,,,,,,8,213,10,,"8 verses of 4 lines (second line is refrain). This version is somewhat truncated - other versions typically end with the revealing of the elder sister's crime.

See:
Greig-Duncan vol. 2, pp. 76-92, no. 213
'Scottish Ballads' (E. Lyle, 1994) pp. 113-115
'Bothy Songs & Ballads' (J. Ord, 1930) pp. 430-432
'Singing Island (E. MacColl & P. Seeger, 1960) p. 85
'Scottish Tragic Ballads' (J. Pinkerton, 1781) pp. 72-74
'Book of Scottish Ballads' (A. Whitelaw, 1845) pp. 260-261
'Vagabond Songs & Ballads' vol. 2 (R. Ford, 1901) pp. 189-194
'Ballads of Scotland' vol. 1 (W. E. Aytoun, 1858) pp. 194-199
'Ancient Ballads and Songs' vol. 2 (P. Buchan, 1828) pp. 122-125
'Everyman's Book of British Ballads' (R. Palmer, 1980) pp. 91-92
'The Scottish Folksinger' (N. Buchan & P. Hall, 1973) pp. 84-85
'A Collection of Scots Songs' (A. Munro & H. Henderson, 1972) p. 36
'Last Leaves of Traditional Ballads' (A. Keith & G. Greig, 1925) pp. 9-13 
'Ancient & Modern Scottish Songs' vol. 2 (D. Herd, 1869, 1973) pp. 306-307
'Travellers' Songs from England and Scotland' (E. MacColl & P. Seeger, 1977) pp. 51-53
'Traditional Tunes of the Child Ballads' vol. 1 (B. H. Bronson & F. J. Child, 1959) pp. 143-184 
'Andrew Crawfurd's Collection of Ballads & Songs' vol. 2 (E. Lyle, 1996) pp. 48-49, 103-105",http://www.tobarandualchais.co.uk/fullrecord/46819/1,,,
The Twa Sisters,Binnorie,Murder ballad in which the elder of two sisters kills the younger out of jealousy of her suitor.,,,LV001,,,LV001.004,Binnorie,,"Two sisters are courted by a miller, and the younger wins his favour. The jealous older sister invites the younger to walk by the miller's dam, and there pushes her into the water, where she drowns. The miller's servant discovers the body and alerts the miller, saying it's either a drowned lady, or a swan. The miller recognises the young sister by her silken gown, and grieves for her.

Ethel Findlater learned this tragic ballad from her cousin [Bella Harvey].",FALSE,FALSE,TRUE,FALSE,ID031,Elsie,Johnston,"Dounby, Orkney",59.067798,-3.227541,,,,Alan J. Bruford,1966.08.31,School of Scottish Studies Sound Archive SA1966.45.A3,"Dounby, Orkney",59.067798,-3.227541,,,,,,,8,213,10,,Sung in unison.,http://www.tobarandualchais.co.uk/fullrecord/93282/1,,,
The Twa Sisters,Binnorie,Murder ballad in which the elder of two sisters kills the younger out of jealousy of her suitor.,,,LV001,,,LV001.005,Binnorie,,"In this version of 'Binnorie', two sisters are courted by a miller, with the younger winning his favour. The jealous older sister invites the younger to walk and view the swans by the miller's dam, and there pushes her into the water. The younger sister pleads to be saved, even promising to ""mak ye heir o'er all I command"", but the elder sister leaves her to drown. The miller's servant discovers the body and alerts the miller: ""It's either a drooned lady, or else a silken swan."" The miller recognises the young sister by her hair, and digs her a grave.",FALSE,FALSE,TRUE,FALSE,ID052,Willie,Mathieson,"Ellon, Aberdeenshire",57.364597,-2.072972,,,,Hamish Henderson,1952.01,School of Scottish Studies Sound Archive SA1952.04.A2,"Ellon, Aberdeenshire",57.364597,-2.072972,,,,,,,8,213,10,,"Text and music transcribed in School of Scottish Studies. 13 verses of 4 lines (couplets with an interlinear refrain). Last lines vary according to narrative. Tune very similar to 'The Bonny Lass o Fyvie' (Roud 545). The contributor learned the song via his second wife, from her grandfather Sandy Ross.

See:
Willie Mathieson's MS I:117
Greig-Duncan vol. 2, pp. 76-92, no. 213
'Scottish Ballads' (E. Lyle, 1994) pp. 113-115
'Bothy Songs & Ballads' (J. Ord, 1930) pp. 430-432
'Singing Island' (E. MacColl & P. Seeger, 1960) p. 85
'Scottish Tragic Ballads' (J. Pinkerton, 1781) pp. 72-74
'Book of Scottish Ballads' (A. Whitelaw, 1845) pp. 260-261
'Vagabond Songs & Ballads' vol. 2 (R. Ford, 1901) pp. 189-194
'Ballads of Scotland' vol. 1 (W. E. Aytoun, 1858) pp. 194-199
'Ancient Ballads and Songs' vol. 2 (P. Buchan, 1828) pp. 122-125
'Everyman's Book of British Ballads' (R. Palmer, 1980) pp. 91-92
'The Scottish Folksinger' (N. Buchan and P. Hall, 1973) pp. 84-85
'A Collection of Scots Songs' (A. Munro & H. Henderson, 1972) p. 36
'Last Leaves of Traditional Ballads' (A. Keith, G. Greig, 1925) pp. 9-13 
'Ancient & Modern Scottish Songs' vol. 2 (D. Herd, 1869/1973) pp. 306-307
'Travellers' Songs from England and Scotland' (E. MacColl & P. Seeger, 1977) pp. 51-53
'Traditional Tunes of the Child Ballads' vol. 1 (B. H. Bronson, F. J. Child, 1959) pp. 143-184 
'Andrew Crawfurd's Collection of Ballads & Songs' vol. 2 (E. Lyle, 1996) pp. 48-49 pp. 103-105",http://www.tobarandualchais.co.uk/fullrecord/2937/1,,,
The Twa Sisters,Binnorie,Murder ballad in which the elder of two sisters kills the younger out of jealousy of her suitor.,,,LV001,,,LV001.006,The Twa Sisters,,Murder ballad in which the elder of two sisters kills the younger because she is jealous of her suitor.,FALSE,FALSE,TRUE,FALSE,ID056,Brian,Miller,Edinburgh,55.864237,-4.251806,Penicuik,55.830932,-3.224533,Peter R. Cooke,1970.08.22,School of Scottish Studies Sound Archive SA1970.179,Edinburgh,55.864237,-4.251806,Penicuik,55.830932,-3.224533,,,,8,213,10,,,http://www.tobarandualchais.co.uk/fullrecord/89116/1,,,
The Twa Sisters,Binnorie,Murder ballad in which the elder of two sisters kills the younger out of jealousy of her suitor.,,,LV001,,,LV001.007,The Swans Swim So Bonnie,,"In these opening fragments of the ballad 'Binnorie' (or 'The Twa Sisters'), a woman invites her sister to walk with her by the river:

There were twa sisters lived in this place,
Hey, ho, ma nannie o,
One was fair and the ither was deen [sic: din, dun],
And the swan swims sae bonnie o.

Dear sister, dear sister, would ye take a walk?
Hey, ho, ma nannie o,
Would ye take a walk doon by the miller's dam?
And the swan swims sae bonnie o.",FALSE,FALSE,TRUE,FALSE,ID087,Lucy,Stewart,"Fetterangus, Aberdeenshire",57.553105,-2.015331,,,,Kenneth Goldstein,1959.12,School of Scottish Studies Sound Archive SA1960.143.B10,"Fetterangus, Aberdeenshire",57.553105,-2.015331,,,,,,,8,213,10,,"2 verses consisting of couplets with an interlinear refrain.

See:
Greig-Duncan vol. 2, pp. 76-92, no. 213
'Scottish Ballads' (E. Lyle, 1994) pp. 113-115
'Bothy Songs & Ballads' (J. Ord, 1930) pp. 430-432
'Singing Island' (E. MacColl & P. Seeger, 1960) p. 85
'Scottish Tragic Ballads' (J. Pinkerton, 1781) pp. 72-74
'Book of Scottish Ballads' (A. Whitelaw, 1845) pp. 260-261
'Vagabond Songs & Ballads' vol. 2 (R. Ford, 1901) pp. 189-194
'Ballads of Scotland' vol. 1 (W.E. Aytoun, 1858) pp. 194-199
'Ancient Ballads and Songs' vol. 2 (P. Buchan, 1828) pp. 122-125
'Everyman's Book of British Ballads' (R. Palmer, 1980) pp. 91-92
'The Scottish Folksinger' (N. Buchan & P. Hall, 1973) pp. 84-85
'A Collection of Scots Songs' (A. Munro & H. Henderson, 1972) p. 36
'Last Leaves of Traditional Ballads' (A. Keith & G. Greig, 1925) pp. 9-13 
'Ancient & Modern Scottish Songs' vol. 2 (D. Herd, 1869, 1973) pp. 306-307
'Travellers' Songs from England and Scotland' (E. MacColl & P. Seeger, 1977) pp. 51-53
'Traditional Tunes of the Child Ballads' vol. 1 (B.H. Bronson & F.J. Child, 1959) pp. 143-184 
'Andrew Crawfurd's Collection of Ballads & Songs' vol. 2 (E. Lyle, 1996) pp. 48-49, 103-105",http://www.tobarandualchais.co.uk/fullrecord/56068/1,,,
The Twa Sisters,Binnorie,Murder ballad in which the elder of two sisters kills the younger out of jealousy of her suitor.,,,LV001,,,LV001.008,The Twa Sisters,,Sheila Stewart sings a fragment of the murder ballad 'The Twa Sisters' as heard from a Traveller named Lizzie MacPhee. One verse has two extra lines - an example of the way lyrics are sometimes changed by singers.,TRUE,FALSE,TRUE,FALSE,ID091,Sheila,Stewart,"Blairgowrie, Perthshire",56.588823,-3.345894,,,,"Hamish Henderson, Alan J. Bruford, Peter R. Cooke & Ailie Edmunds Munro",1977.11.18,School of Scottish Studies Sound Archive SA1977.158.5,"Blairgowrie, Perthshire",56.588823,-3.345894,,,,,,,8,213,10,,"3 verses consisting of couplets with an interlinear refrain; verse 3 has 6 lines. The changing of lyrics by singers is discussed on an earlier track on the same tape (SA1977.158).

See:
Greig-Duncan vol. 2, pp. 76-92, no. 213
'Scottish Ballads' (E. Lyle, 1994) pp. 113-115
'Bothy Songs & Ballads' (J. Ord, 1930) pp. 430-432
'Singing Island' (E. MacColl & P. Seeger, 1960) p. 85
'Scottish Tragic Ballads' (J. Pinkerton, 1781) pp. 72-74
'Book of Scottish Ballads' (A. Whitelaw, 1845) pp. 260-261
'Vagabond Songs & Ballads' vol. 2 (R. Ford, 1901) pp. 189-194
'Ballads of Scotland' vol. 1 (W. E. Aytoun, 1858) pp. 194-199
'Ancient Ballads and Songs' vol. 2 (P. Buchan, 1828) pp. 122-125
'Everyman's Book of British Ballads' (R. Palmer, 1980) pp. 91-92
'The Scottish Folksinger' (N. Buchan and P. Hall, 1973) pp. 84-85
'A Collection of Scots Songs' (A. Munro & H. Henderson, 1972) p. 36
'Last Leaves of Traditional Ballads' (A. Keith & G. Greig, 1925) pp. 9-13 
'Ancient & Modern Scottish Songs' vol. 2 (D. Herd, 1869, 1973) pp. 306-307
'Travellers' Songs from England and Scotland' (E. MacColl & P. Seeger, 1977) pp. 51-53
'Traditional Tunes of the Child Ballads' vol. 1 (B. H. Bronson & F. J. Child, 1959) pp. 143-184 
'Andrew Crawfurd's Collection of Ballads & Songs' vol. 2 (E. Lyle, 1996) pp. 48-49, 103-105",http://www.tobarandualchais.co.uk/fullrecord/74633/1,,,
The Twa Sisters,Binnorie,Murder ballad in which the elder of two sisters kills the younger out of jealousy of her suitor.,,,LV001,,,LV001.009,Binnorie,,"In this ballad two sisters are courted by the same man but he prefers the younger. Her sister asks her out for a walk and pushes her into the dam saying it as not for her lands but because she was the fairer.

John Strachan had the song from Jimmy Reid about 1895.",FALSE,FALSE,TRUE,FALSE,ID092,John,Strachan,"Fyvie, Aberdeenshire",57.422112,-2.385782,,,,Hamish Henderson,1952,School of Scottish Studies Sound Archive SA1952.26.A4,"Fyvie, Aberdeenshire",57.422112,-2.385782,,,,,,,8,213,10,,"8 verses. This version is in couplets, with a strong tune and interlinear refrain. It does not have the supernatural elements.

See:
Greig-Duncan vol. 2, pp. 76-92
Ord pp. 430-432",http://www.tobarandualchais.co.uk/fullrecord/20895/1,,,
The Twa Sisters,Binnorie,Murder ballad in which the elder of two sisters kills the younger out of jealousy of her suitor.,,,LV001,,,LV001.011,Binnorie,,"In this version of the ballad 'Binnorie', a woman invites her sister to walk with her by the river, promising to show her wonders, but instead pushes her into the water, where she drowns. Her body is carried by the river to a nearby mill and the miller retrieves the body and hangs it up to dry, where it is seen by three passing fiddlers. One makes fiddle pegs out of four of her fingers, another uses her hair to make fiddle strings, while another takes her breast bone to make a fiddle that will play a tune its lone [on its own]. The fiddlers take the fiddle to the girl's father's hall, where it tells those present of the murder.",TRUE,FALSE,FALSE,FALSE,ID096,Betsy,Whyte,"Montrose, Angus",56.706922,-2.466115,,,,Unknown (male),1987.06.02,School of Scottish Studies Sound Archive SA1987.127,"Montrose, Angus",56.706922,-2.466115,,,,,,,8,213,10,,,http://www.tobarandualchais.co.uk/fullrecord/82953/1,,,
